ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
4,5.4910000000000005e-06,1.3727500000000001e-06,7.523000000000001e-06,1.8807500000000002e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/expr/expr.py', 9800, 'str')"
4,2.032e-06,5.08e-07,2.032e-06,5.08e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/expr/string.py', 37, '__init__')"
1,1.1489000000000001e-05,1.1489000000000001e-05,0.021093703000000002,0.021093703000000002,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 1603, 'collect')"
1,9.867e-06,9.867e-06,0.00025889500000000003,0.00025889500000000003,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 2728, 'select')"
22,7.144800000000001e-05,3.2476363636363643e-06,0.000617832,2.8083272727272727e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 3849, 'with_columns')"
19,3.9869e-05,2.0983684210526315e-06,0.000434081,2.2846368421052632e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 4002, 'with_columns_seq')"
1,3.693e-05,3.693e-05,0.000471011,0.000471011,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 258, '__apply_column_expressions__')"
3,1.0760000000000002e-06,3.586666666666667e-07,1.0760000000000002e-06,3.586666666666667e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/deprecation.py', 141, '_rename_keyword_argument')"
1,1.543e-06,1.543e-06,1.7737e-05,1.7737e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/selectors.py', 128, '_expand_selectors')"
55,3.1313e-05,5.693272727272728e-07,4.5075000000000005e-05,8.195454545454547e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 306, '_from_pyldf')"
44,4.9465e-05,1.1242045454545455e-06,0.000494076,1.1228999999999999e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/_parse_expr_input.py', 50, '_parse_positional_inputs')"
3,1.1413e-05,3.8043333333333336e-06,0.006305982000000001,0.006305982000000001,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/deprecation.py', 128, 'wrapper')"
1,5.4980000000000006e-06,5.4980000000000006e-06,8.097e-06,8.097e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/_wrap.py', 12, 'wrap_df')"
62,3.8777000000000005e-05,6.254354838709678e-07,8.076700000000001e-05,1.302693548387097e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/_wrap.py', 24, 'wrap_expr')"
11,1.6145000000000002e-05,1.4677272727272728e-06,3.1031e-05,2.821e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/_wrap.py', 16, 'wrap_ldf')"
1,5.5250000000000005e-06,5.5250000000000005e-06,2.5984e-05,2.5984e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/dataframe/frame.py', 7958, 'lazy')"
1,9.090000000000001e-07,9.090000000000001e-07,1.06e-06,1.06e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/various.py', 50, '_process_null_values')"
13,1.9994000000000002e-05,1.5380000000000001e-06,2.1795e-05,1.6765384615384616e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/dependencies.py', 208, '_check_for_numpy')"
17,1.1478000000000001e-05,6.751764705882354e-07,1.7498e-05,1.0292941176470588e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/datatypes/convert.py', 142, 'is_polars_dtype')"
44,3.0304000000000003e-05,6.887272727272728e-07,0.0005243800000000001,1.1917727272727274e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/_parse_expr_input.py', 20, 'parse_as_list_of_expressions')"
45,4.2132e-05,9.362666666666667e-07,0.000234092,5.202044444444444e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/_parse_expr_input.py', 59, '_parse_inputs_as_iterable')"
17,2.9061000000000002e-05,1.7094705882352942e-06,0.000108478,6.381058823529412e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/expr/expr.py', 1861, 'cast')"
1,3.56e-07,3.56e-07,3.56e-07,3.56e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/various.py', 186, '_prepare_row_index_args')"
10,1.0111e-05,1.0111e-06,2.5535000000000002e-05,2.5535e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/expr/expr.py', 595, 'alias')"
44,4.5403000000000006e-05,1.0318863636363638e-06,0.00022671300000000002,5.152568181818182e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/_parse_expr_input.py', 56, '<listcomp>')"
2,7.650000000000001e-06,3.825000000000001e-06,3.6302e-05,1.8151e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/various.py', 217, 'normalize_filepath')"
45,2.0824000000000003e-05,4.627555555555556e-07,0.000186342,4.140933333333334e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/_parse_expr_input.py', 72, '_is_iterable')"
1,1.582e-06,1.582e-06,2.599e-06,2.599e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/dataframe/frame.py', 432, '_from_pydf')"
12,7.591000000000001e-06,6.325833333333334e-07,1.0966000000000001e-05,9.138333333333334e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/datatypes/classes.py', 99, '__eq__')"
12,8.720000000000001e-06,7.266666666666668e-07,1.0059000000000001e-05,8.382500000000001e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/datatypes/classes.py', 402, '__init__')"
4,2.797e-06,6.9925e-07,3.475e-06,8.6875e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/deprecation.py', 250, 'rename_use_earliest_to_ambiguous')"
1,5.9480000000000005e-06,5.9480000000000005e-06,0.00010950300000000001,0.00010950300000000001,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/deprecation.py', 93, 'wrapper')"
1,6.520000000000001e-07,6.520000000000001e-07,6.520000000000001e-07,6.520000000000001e-07,"('~', 0, ""<method 'disable' of '_lsprof.Profiler' objects>"")"
1,5.7120000000000005e-06,5.7120000000000005e-06,7.438300000000001e-05,7.438300000000001e-05,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 266, '__apply_lookup_reference_plans__')"
1,7.699e-06,7.699e-06,7.699e-06,7.699e-06,"('/usr/lib/python3.11/threading.py', 236, '__init__')"
1,1.317e-06,1.317e-06,2.7770000000000003e-06,2.7770000000000003e-06,"('/usr/lib/python3.11/threading.py', 359, 'notify')"
1,2.2480000000000003e-06,2.2480000000000003e-06,2.2480000000000003e-06,2.2480000000000003e-06,"('/usr/lib/python3.11/threading.py', 1317, '_make_invoke_excepthook')"
1,1.19e-06,1.19e-06,1.19e-06,1.19e-06,"('/usr/lib/python3.11/threading.py', 1199, 'daemon')"
1,3.832e-06,3.832e-06,4.2240000000000006e-06,4.2240000000000006e-06,"('/usr/lib/python3.11/threading.py', 1446, 'current_thread')"
2,2.931e-06,1.4655e-06,4.198e-06,2.099e-06,"('/usr/lib/python3.11/threading.py', 279, '_is_owned')"
45,3.1708e-05,7.046222222222223e-07,0.000141557,3.1457111111111112e-06,"('/usr/lib/python3.11/typing.py', 1284, '__instancecheck__')"
2,4.578e-06,2.289e-06,1.1153000000000001e-05,5.576500000000001e-06,"('/usr/lib/python3.11/threading.py', 267, '__exit__')"
2,5.29e-07,2.645e-07,5.29e-07,2.645e-07,"('/usr/lib/python3.11/threading.py', 568, 'is_set')"
1,5.901000000000001e-06,5.901000000000001e-06,0.007181077,0.007181077,"('/usr/lib/python3.11/threading.py', 604, 'wait')"
1,1.6770000000000002e-06,1.6770000000000002e-06,2.03e-06,2.03e-06,"('/usr/lib/python3.11/threading.py', 1214, 'daemon')"
1,3.209e-06,3.209e-06,1.1759e-05,1.1759e-05,"('/usr/lib/python3.11/threading.py', 555, '__init__')"
2,5.456e-06,2.728e-06,6.454e-06,3.227e-06,"('/usr/lib/python3.11/threading.py', 264, '__enter__')"
